Fund_House,Year,AUM_Cr
SBI,2022,222753
SBI,2023,213678
SBI,2024,331432
SBI,2025,1250000
HDFC,2022,299157
HDFC,2023,331592
HDFC,2024,414474
HDFC,2025,395740
ICICI,2022,241858
ICICI,2023,234773
ICICI,2024,330997
ICICI,2025,219467
Nippon,2022,150589
Nippon,2023,159686
Nippon,2024,175753
Nippon,2025,316096
Axis,2022,318945
Axis,2023,361562
Axis,2024,328364
Axis,2025,424096
Kotak,2022,257042
Kotak,2023,271924
Kotak,2024,282434
Kotak,2025,304332
Aditya Birla,2022,218270
Aditya Birla,2023,220901
Aditya Birla,2024,282877
Aditya Birla,2025,373615
DSP,2022,206245
DSP,2023,211880
DSP,2024,308999
DSP,2025,264922
UTI,2022,157982
UTI,2023,242304
UTI,2024,256312
UTI,2025,227100
Mirae,2022,182940
Mirae,2023,194897
Mirae,2024,312282
Mirae,2025,359397
