Age_Group,Gender,SIP_Amount
18-25,Male,6684
46-60,Female,13567
26-35,Male,2954
36-45,Female,19615
36-45,Female,5556
26-35,Female,20724
36-45,Male,13185
26-35,Male,22018
18-25,Male,24742
18-25,Female,9255
36-45,Female,15320
26-35,Male,20126
26-35,Female,16698
26-35,Male,11317
36-45,Male,11752
46-60,Female,4127
26-35,Female,18547
46-60,Female,11994
46-60,Male,1806
26-35,Female,22748
26-35,Male,6030
26-35,Male,14045
26-35,Female,18379
36-45,Male,14308
26-35,Male,12149
36-45,Male,17582
36-45,Male,14377
18-25,Male,23412
26-35,Male,18591
26-35,Male,5431
18-25,Male,13188
36-45,Male,19815
60+,Male,12274
18-25,Female,9839
26-35,Female,17543
26-35,Male,2486
46-60,Male,2234
18-25,Female,6259
26-35,Female,2302
26-35,Male,14986
36-45,Female,17146
36-45,Female,9708
26-35,Male,5923
60+,Male,7658
26-35,Male,15651
46-60,Female,23081
36-45,Female,13374
60+,Female,21083
36-45,Male,3057
60+,Female,3461
18-25,Male,3369
26-35,Female,6199
26-35,Male,4487
26-35,Female,1718
36-45,Male,5055
26-35,Female,17929
26-35,Female,3936
26-35,Female,17109
26-35,Female,7522
26-35,Male,8496
26-35,Male,11812
18-25,Female,19089
60+,Female,14934
36-45,Female,3920
26-35,Female,20054
60+,Male,10992
26-35,Female,20211
26-35,Male,22738
46-60,Female,19617
18-25,Male,11593
26-35,Male,11229
46-60,Female,8596
18-25,Female,7706
26-35,Female,6486
26-35,Male,23855
26-35,Male,5280
26-35,Male,8673
46-60,Female,23498
18-25,Male,22803
36-45,Male,20653
36-45,Male,23341
46-60,Male,5277
46-60,Male,2991
26-35,Female,22575
26-35,Female,22199
46-60,Male,4642
36-45,Male,7299
60+,Male,18577
18-25,Male,14598
26-35,Male,8808
18-25,Male,2431
26-35,Male,17396
26-35,Male,5737
36-45,Female,16744
36-45,Male,10162
26-35,Female,8630
26-35,Male,13784
18-25,Male,9935
18-25,Male,13745
36-45,Male,10957
36-45,Female,24305
26-35,Male,23549
60+,Female,7890
18-25,Female,10323
46-60,Female,5111
36-45,Female,16847
36-45,Female,18571
36-45,Male,4500
46-60,Female,5887
26-35,Female,4413
26-35,Male,20991
18-25,Male,2582
26-35,Female,23632
46-60,Male,917
26-35,Male,17709
36-45,Female,912
18-25,Male,24048
26-35,Male,19388
36-45,Male,18006
26-35,Male,2643
26-35,Female,12543
26-35,Female,15052
26-35,Male,12644
26-35,Female,18249
26-35,Male,14423
18-25,Female,4671
26-35,Female,19666
60+,Male,5986
18-25,Male,4991
26-35,Female,8151
60+,Female,1562
18-25,Male,11674
60+,Male,24214
46-60,Male,7301
60+,Female,17837
36-45,Male,2042
26-35,Male,23822
36-45,Male,22425
60+,Male,18249
46-60,Female,4812
36-45,Male,24303
18-25,Female,5801
36-45,Male,15985
26-35,Male,9935
36-45,Female,13616
46-60,Female,7030
36-45,Female,1714
26-35,Male,17812
26-35,Female,4127
60+,Male,5410
46-60,Male,11503
18-25,Male,14343
18-25,Male,20260
36-45,Male,10088
36-45,Male,9162
18-25,Male,11475
18-25,Male,24459
36-45,Male,14159
36-45,Male,7983
36-45,Male,5335
60+,Female,7812
26-35,Male,3279
26-35,Male,24598
46-60,Female,17139
36-45,Female,509
60+,Female,5624
18-25,Male,2693
60+,Male,24333
26-35,Female,7438
36-45,Male,10844
26-35,Male,8675
18-25,Female,10360
60+,Male,24024
36-45,Female,21062
26-35,Male,6497
26-35,Male,24823
26-35,Female,10515
18-25,Male,14989
26-35,Male,17654
26-35,Female,17961
60+,Male,5358
26-35,Male,20258
26-35,Female,12673
36-45,Male,16281
36-45,Female,10021
36-45,Male,23886
18-25,Female,21145
26-35,Female,5137
36-45,Female,19064
46-60,Male,20356
26-35,Male,4664
60+,Male,4800
26-35,Male,12734
18-25,Male,7850
36-45,Male,22915
36-45,Male,10411
26-35,Female,1166
36-45,Male,23661
26-35,Female,22469
26-35,Male,14216
36-45,Male,17407
26-35,Male,14624
26-35,Male,23074
36-45,Male,23377
18-25,Male,4932
26-35,Female,14678
26-35,Male,17522
46-60,Male,8650
36-45,Female,7309
18-25,Male,5626
36-45,Female,23390
36-45,Male,8173
26-35,Male,14003
26-35,Male,1562
26-35,Male,24525
36-45,Male,4096
36-45,Female,8758
36-45,Male,6871
36-45,Male,8443
36-45,Male,16413
26-35,Male,22285
36-45,Male,11054
60+,Male,18344
18-25,Male,6122
26-35,Female,20401
26-35,Male,13546
18-25,Male,4824
60+,Male,24373
36-45,Female,22850
46-60,Male,19435
36-45,Female,21173
36-45,Male,14246
46-60,Male,9833
36-45,Male,13319
26-35,Male,6733
36-45,Male,2417
18-25,Male,18910
36-45,Male,509
36-45,Male,7541
26-35,Female,9012
18-25,Male,19708
36-45,Male,3990
26-35,Female,12719
60+,Male,9067
60+,Male,8662
18-25,Female,11657
18-25,Female,9564
36-45,Female,21704
26-35,Male,577
26-35,Male,14560
36-45,Female,10010
36-45,Female,8304
26-35,Female,19074
36-45,Male,11746
26-35,Male,4187
26-35,Male,8889
60+,Female,22451
18-25,Female,5908
36-45,Female,919
60+,Female,11760
26-35,Female,5873
26-35,Female,5112
46-60,Male,22912
18-25,Female,6859
36-45,Male,20603
18-25,Male,3391
36-45,Male,3174
36-45,Male,2616
46-60,Female,11611
36-45,Male,1314
26-35,Male,10957
36-45,Male,17868
26-35,Female,20415
18-25,Female,20760
36-45,Male,9295
26-35,Male,21030
36-45,Female,4297
46-60,Male,22616
60+,Female,19914
46-60,Female,5162
26-35,Male,12194
18-25,Male,20391
46-60,Male,8470
26-35,Male,10814
46-60,Male,9166
36-45,Male,13726
18-25,Female,18089
18-25,Male,13497
18-25,Male,4880
36-45,Female,10895
26-35,Male,5444
60+,Male,20585
46-60,Male,23588
26-35,Male,9681
36-45,Male,2579
26-35,Female,10192
26-35,Male,18949
26-35,Female,7145
26-35,Male,6297
36-45,Male,20219
46-60,Female,13587
26-35,Female,23189
26-35,Male,8143
46-60,Female,11771
18-25,Male,14795
26-35,Male,9019
18-25,Female,7222
46-60,Male,14075
18-25,Male,10003
46-60,Female,21431
60+,Male,21889
26-35,Female,6650
36-45,Female,21126
18-25,Female,18192
26-35,Female,23736
26-35,Male,1909
26-35,Male,18439
36-45,Male,13692
26-35,Male,22503
60+,Female,13380
46-60,Male,16586
46-60,Male,3686
26-35,Female,4533
36-45,Male,22761
36-45,Male,23693
26-35,Male,9496
18-25,Female,5975
26-35,Male,22680
36-45,Female,2122
18-25,Male,18958
46-60,Female,4763
26-35,Female,15656
18-25,Female,3469
26-35,Female,4129
18-25,Male,18270
26-35,Male,22374
26-35,Male,22299
26-35,Female,11546
36-45,Female,21034
36-45,Female,23096
26-35,Male,9442
26-35,Male,16350
46-60,Female,6622
26-35,Female,2024
26-35,Male,22644
26-35,Female,23069
26-35,Male,1752
18-25,Female,21081
36-45,Male,16814
46-60,Male,17213
36-45,Male,20991
36-45,Female,6395
36-45,Female,22488
36-45,Female,16396
46-60,Female,20877
18-25,Female,5373
36-45,Female,22797
36-45,Female,12545
18-25,Female,11622
46-60,Female,2000
26-35,Female,19926
26-35,Female,22276
36-45,Male,3167
18-25,Male,3483
26-35,Male,8730
26-35,Male,22352
36-45,Female,16020
46-60,Male,15729
26-35,Male,1045
18-25,Female,16275
60+,Male,9505
26-35,Female,8936
26-35,Male,18655
60+,Female,17804
26-35,Male,11316
26-35,Male,1665
26-35,Female,645
26-35,Male,14786
26-35,Male,24395
18-25,Female,2328
46-60,Male,5305
