Date,NAV
2022-01-03,101.09
2022-01-04,100.32
2022-01-05,98.91
2022-01-06,98.89
2022-01-07,98.89
2022-01-10,99.51
2022-01-11,100.54
2022-01-12,100.56
2022-01-13,102.5
2022-01-14,102.8
2022-01-17,102.54
2022-01-18,101.01
2022-01-19,100.82
2022-01-20,100.57
2022-01-21,101.61
2022-01-24,102.15
2022-01-25,101.05
2022-01-26,101.3
2022-01-27,102.05
2022-01-28,103.66
2022-01-31,104.63
2022-02-01,105.47
2022-02-02,105.61
2022-02-03,106.08
2022-02-04,107.41
2022-02-07,106.16
2022-02-08,105.89
2022-02-09,105.19
2022-02-10,105.65
2022-02-11,106.96
2022-02-14,106.45
2022-02-15,104.14
2022-02-16,103.8
2022-02-17,104.8
2022-02-18,105.42
2022-02-21,105.92
2022-02-22,105.72
2022-02-23,104.52
2022-02-24,105.12
2022-02-25,104.37
2022-02-28,106.63
2022-03-01,107.28
2022-03-02,106.78
2022-03-03,106.25
2022-03-04,106.23
2022-03-07,106.08
2022-03-08,107.27
2022-03-09,107.54
2022-03-10,106.89
2022-03-11,108.86
2022-03-14,108.99
2022-03-15,109.84
2022-03-16,109.31
2022-03-17,109.75
2022-03-18,110.14
2022-03-21,108.33
2022-03-22,110.43
2022-03-23,111.8
2022-03-24,111.48
2022-03-25,110.46
2022-03-28,110.89
2022-03-29,111.05
2022-03-30,111.49
2022-03-31,111.76
2022-04-01,112.35
2022-04-04,113.87
2022-04-05,114.52
2022-04-06,113.55
2022-04-07,114.99
2022-04-08,116.72
2022-04-11,119.95
2022-04-12,118.9
2022-04-13,119.23
2022-04-14,117.22
2022-04-15,117.86
2022-04-18,117.39
2022-04-19,119.39
2022-04-20,118.7
2022-04-21,117.09
2022-04-22,116.7
2022-04-25,114.8
2022-04-26,115.63
2022-04-27,113.65
2022-04-28,113.76
2022-04-29,111.76
2022-05-02,111.52
2022-05-03,113.24
2022-05-04,113.68
2022-05-05,112.9
2022-05-06,112.95
2022-05-09,113.05
2022-05-10,113.6
2022-05-11,112.31
2022-05-12,112.98
2022-05-13,110.36
2022-05-16,109.81
2022-05-17,109.4
2022-05-18,110.12
2022-05-19,110.22
2022-05-20,108.89
2022-05-23,107.99
2022-05-24,108.27
2022-05-25,108.27
2022-05-26,107.77
2022-05-27,107.37
2022-05-30,108.14
2022-05-31,107.71
2022-06-01,107.7
2022-06-02,109.95
2022-06-03,108.6
2022-06-06,106.83
2022-06-07,107.7
2022-06-08,107.1
2022-06-09,106.86
2022-06-10,106.16
2022-06-13,105.98
2022-06-14,107.66
2022-06-15,108.54
2022-06-16,109.48
2022-06-17,108.14
2022-06-20,107.07
2022-06-21,104.31
2022-06-22,103.58
2022-06-23,104.62
2022-06-24,105.22
2022-06-27,105.08
2022-06-28,105.13
2022-06-29,104.53
2022-06-30,104.81
2022-07-01,105.66
2022-07-04,104.12
2022-07-05,104.5
2022-07-06,105.51
2022-07-07,105.18
2022-07-08,105.96
2022-07-11,108.85
2022-07-12,108.83
2022-07-13,109.3
2022-07-14,108.64
2022-07-15,108.9
2022-07-18,109.44
2022-07-19,109.72
2022-07-20,108.78
2022-07-21,109.07
2022-07-22,110.61
2022-07-25,111.14
2022-07-26,112.18
2022-07-27,112.02
2022-07-28,112.85
2022-07-29,113.21
2022-08-01,112.34
2022-08-02,112.74
2022-08-03,111.83
2022-08-04,111.27
2022-08-05,111.54
2022-08-08,111.92
2022-08-09,110.81
2022-08-10,111.95
2022-08-11,112.6
2022-08-12,111.97
2022-08-15,110.52
2022-08-16,110.45
2022-08-17,110.08
2022-08-18,110.28
2022-08-19,109.99
2022-08-22,108.07
2022-08-23,107.76
2022-08-24,107.53
2022-08-25,108.25
2022-08-26,107.63
2022-08-29,109.39
2022-08-30,107.56
2022-08-31,108.95
2022-09-01,108.8
2022-09-02,109.74
2022-09-05,109.9
2022-09-06,111.12
2022-09-07,110.81
2022-09-08,109.8
2022-09-09,111.3
2022-09-12,111.26
2022-09-13,111.56
2022-09-14,112.88
2022-09-15,111.93
2022-09-16,112.6
2022-09-19,112.09
2022-09-20,112.04
2022-09-21,112.19
2022-09-22,110.77
2022-09-23,110.07
2022-09-26,111.5
2022-09-27,112.47
2022-09-28,112.49
2022-09-29,112.81
2022-09-30,112.6
2022-10-03,114.03
2022-10-04,113.91
2022-10-05,114.23
2022-10-06,115.45
2022-10-07,114.75
2022-10-10,116.39
2022-10-11,114.94
2022-10-12,116.65
2022-10-13,116.36
2022-10-14,116.2
2022-10-17,114.39
2022-10-18,114.01
2022-10-19,113.05
2022-10-20,112.52
2022-10-21,112.47
2022-10-24,113.5
2022-10-25,113.79
2022-10-26,114.18
2022-10-27,113.16
2022-10-28,112.36
2022-10-31,114.24
2022-11-01,113.59
2022-11-02,115.32
2022-11-03,115.16
2022-11-04,115.24
2022-11-07,116.39
2022-11-08,117.74
2022-11-09,117.71
2022-11-10,117.41
2022-11-11,117.43
2022-11-14,117.85
2022-11-15,118.82
2022-11-16,118.9
2022-11-17,119.6
2022-11-18,121.32
2022-11-21,121.78
2022-11-22,122.17
2022-11-23,120.73
2022-11-24,118.18
2022-11-25,118.65
2022-11-28,118.64
2022-11-29,118.2
2022-11-30,118.53
2022-12-01,118.55
2022-12-02,119.75
2022-12-05,119.92
2022-12-06,119.25
2022-12-07,120.32
2022-12-08,120.19
2022-12-09,120.79
2022-12-12,120.39
2022-12-13,119.83
2022-12-14,119.99
2022-12-15,120.08
2022-12-16,120.64
2022-12-19,120.45
2022-12-20,118.7
2022-12-21,118.34
2022-12-22,119.22
2022-12-23,119.0
2022-12-26,118.83
2022-12-27,119.9
2022-12-28,119.27
2022-12-29,117.81
2022-12-30,117.73
2023-01-02,117.32
2023-01-03,116.43
2023-01-04,116.34
2023-01-05,116.91
2023-01-06,116.98
2023-01-09,117.37
2023-01-10,119.26
2023-01-11,119.0
2023-01-12,119.36
2023-01-13,118.93
2023-01-16,118.16
2023-01-17,117.66
2023-01-18,117.26
2023-01-19,117.7
2023-01-20,120.13
2023-01-23,119.49
2023-01-24,119.15
2023-01-25,119.17
2023-01-26,119.65
2023-01-27,119.99
2023-01-30,121.35
2023-01-31,119.01
2023-02-01,116.7
2023-02-02,116.29
2023-02-03,117.46
2023-02-06,115.98
2023-02-07,113.05
2023-02-08,113.7
2023-02-09,114.02
2023-02-10,113.01
2023-02-13,112.11
2023-02-14,111.22
2023-02-15,111.41
2023-02-16,110.86
2023-02-17,111.44
2023-02-20,108.66
2023-02-21,107.89
2023-02-22,106.84
