Month,SIP_Cr
2022-01,18433
2022-02,20233
2022-03,21016
2022-04,12612
2022-05,25787
2022-06,27159
2022-07,22206
2022-08,18226
2022-09,24541
2022-10,13152
2022-11,11585
2022-12,13943
2023-01,11021
2023-02,21653
2023-03,20805
2023-04,23417
2023-05,17989
2023-06,19692
2023-07,22990
2023-08,16873
2023-09,15675
2023-10,10161
2023-11,14297
2023-12,10995
2024-01,21534
2024-02,17629
2024-03,11016
2024-04,18529
2024-05,27262
2024-06,19268
2024-07,22185
2024-08,16331
2024-09,18571
2024-10,17208
2024-11,15276
2024-12,28446
2025-01,26448
2025-02,26216
2025-03,18006
2025-04,12568
2025-05,12027
2025-06,12695
2025-07,25422
2025-08,15258
2025-09,16736
2025-10,10391
2025-11,23986
2025-12,31002
